Listening to port 4567
Connected!!!
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.002, Point acc = 0.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.512, Point acc = 3.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.578, Point acc = 3.4, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.648, Point acc = 3.6, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.722, Point acc = 3.8, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.8, Point acc = 4, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.882, Point acc = 4.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.968, Point acc = 4.4, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.058, Point acc = 4.6, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.152, Point acc = 4.8, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.25, Point acc = 5, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.352, Point acc = 5.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.458, Point acc = 5.4, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.568, Point acc = 5.6, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.682, Point acc = 5.8, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.8, Point acc = 6, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 1.922, Point acc = 6.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 2.048, Point acc = 6.4, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 2.178, Point acc = 6.6, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 2.312, Point acc = 6.8, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 2.45, Point acc = 7, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 2.592, Point acc = 7.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 2.738, Point acc = 7.4, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 2.888, Point acc = 7.6, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 3.042, Point acc = 7.8, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 3.2, Point acc = 8, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 3.362, Point acc = 8.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 3.528, Point acc = 8.4, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 3.698, Point acc = 8.38, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 3.8676, Point acc = 8.30194, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 4.03564, Point acc = 8.22406, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 4.20212, Point acc = 8.1469, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 4.36706, Point acc = 8.07046, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 4.53047, Point acc = 7.99472, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 4.69236, Point acc = 7.91968, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 4.85276, Point acc = 7.84534, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 5.01166, Point acc = 7.77169, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 5.1691, Point acc = 7.69873, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 5.32507, Point acc = 7.62644, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 5.4796, Point acc = 7.55481, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 5.6327, Point acc = 7.48386, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 5.78437, Point acc = 7.41356, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 5.93464, Point acc = 7.34391, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.08352, Point acc = 7.27491, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.23102, Point acc = 7.20655, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.37715, Point acc = 7.13882, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.37715, Point acc = 7.13882, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.52193, Point acc = 7.07172, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.23102, Point acc = 7.20655, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.37715, Point acc = 7.13882, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.52193, Point acc = 7.07172, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.52193, Point acc = 7.07172, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.66536, Point acc = 7.00524, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.52193, Point acc = 7.07172, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.66536, Point acc = 7.00524, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.80747, Point acc = 6.93937, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.94825, Point acc = 6.87412, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.94825, Point acc = 6.87412, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.08774, Point acc = 6.80948, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.80747, Point acc = 6.93937, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.94825, Point acc = 6.87412, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.08774, Point acc = 6.80948, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.94825, Point acc = 6.87412, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.08774, Point acc = 6.80948, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.22593, Point acc = 6.74543, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/BehaviorPlanner.h:142 == Current statea : 0, Avg speed5.22974, Time in state : 0, Current Lane : 1, Target Lane : 1
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.08774, Point acc = 6.80948, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.22593, Point acc = 6.74543, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 6.94825, Point acc = 6.87412, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.08774, Point acc = 6.80948, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.22593, Point acc = 6.74543, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.22593, Point acc = 6.74543, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.89789, Point acc = 6.43398, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.89789, Point acc = 6.43398, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 8.02857, Point acc = 6.37342, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.08774, Point acc = 6.80948, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.22593, Point acc = 6.74543, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/BehaviorPlanner.h:142 == Current statea : 0, Avg speed7.26508, Time in state : 1, Current Lane : 1, Target Lane : 1
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.89789, Point acc = 6.43398, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.89789, Point acc = 6.43398, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 8.02857, Point acc = 6.37342, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.22593, Point acc = 6.74543, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.36283, Point acc = 6.68197, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.49847, Point acc = 6.61911, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.63286, Point acc = 6.55682, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.76599, Point acc = 6.49512, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 7.89789, Point acc = 6.43398, Ref Vel = 21.7778
